Common_Name	Scientific_Name	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Family	Prey_Genus	Unidentified	Prey_Stage	Fraction_Diet_By_Wt_or_Vol	Fraction_Diet_By_Items	Fraction_Occurrence	Fraction_Diet_Unspecified	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Syrphidae		NO		NA	0.009	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Tabanidae		NO		NA	0.031	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera			YES		NA	0.22	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae		NO		NA	0.01	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae		NO		NA	0.063	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae		NO		NA	0.014	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera			YES		NA	0.083	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Cleridae		NO		NA	0.01	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		NO		NA	0.02	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Scarabeidae		NO		NA	0.01	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Cordilleran Flycatcher	Empidonax occidentalis	Tyrannidae	"AOU 6th ed., 36th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera			YES		NA	0.21	NA	NA	96	23	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Calliphoridae		NO		NA	0.01	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Empididae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Muscidae		NO		NA	0.013	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Rhagionidae		NO		NA	0.019	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Sarcophagidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Syrphidae		NO		NA	0.01	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Tabanidae		NO		NA	0.019	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera	Therevidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Diptera			YES		NA	0.24	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Bombidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae		NO		NA	0.006	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Cephidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Chalcidoidea		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae		NO		NA	0.23	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae		NO		NA	0.006	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Tenthredinidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	Vespidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Hymenoptera			YES		NA	0.061	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae		NO		NA	0.012	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae		NO		NA	0.003	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	Tortricidae		NO	Larval	NA	0.036	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Lepidoptera			YES		NA	0.079	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Buprestidae		NO		NA	0.013	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae		NO		NA	0.006	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae		NO		NA	0.006	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
Western Wood-Pewee	Contopus sordidulus	Tyrannidae	"AOU 7th ed., 56th supplement"	-105.1037877	38.0404934	NA	NA	NA	Colorado	San Isabel National Forest	"coniferous forest, grassland"		1965		1966	Summer	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae		NO		NA	0.013	NA	NA	334	69	1	stomach contents		TH	"Baldwin, P.H. and D.L. Beaver, 1975.  Ecological Overlap and the Problem of Competition and Sympatry in the Western and Hammond's Flycatchers.  The Condor Vol. 7 no. 1."
