Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source	Doi	Sex	Age_Class	Within_Study_Data_Source	Table_Fig_Number	Title	Lastname_author	Source_year	Journal							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	2	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae			Yes						0.194	Items	67	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	3	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				Yes						0.789	Items	19	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	3	Animalia	Arthropoda	Insecta	Hemiptera		Tingidae			Yes						0.053	Items	19	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	3	Animalia	Arthropoda	Insecta	Coleoptera					Yes						0.105	Items	19	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	3	Animalia	Arthropoda	Insecta	Diptera					Yes						0.053	Items	19	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	4	Animalia	Arthropoda	Insecta	Blattodea					Yes						0.916	Items	48	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	4	Animalia	Arthropoda	Insecta	Hemiptera	Fulgoroidea				Yes						0.021	Items	48	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	4	Animalia	Arthropoda	Insecta	Coleoptera					Yes						0.021	Items	48	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	4	Animalia	Arthropoda	Insecta	Diptera					Yes						0.021	Items	48	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	4	Animalia	Arthropoda	Insecta	Lepidoptera					Yes			Larva			0.021	Items	48	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	5	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				Yes						0.789	Items	90	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	SY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	5	Animalia	Arthropoda	Insecta	Hemiptera		Tingidae			Yes						0.1	Items	90	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	SY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	5	Animalia	Arthropoda	Insecta	Diptera					Yes						0.011	Items	90	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	SY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	5	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae			Yes						0.1	Items	90	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	SY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	6	Animalia	Arthropoda	Arachnida	Araneae					Yes						0.05	Items	20	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F				High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	6	Animalia	Arthropoda	Insecta	Blattodea					Yes						0.85	Items	20	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F				High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	6	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				Yes						0.05	Items	20	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F				High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	6	Animalia	Arthropoda	Insecta	Coleoptera					Yes						0.05	Items	20	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F				High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Arachnida	Araneae					Yes						0.089	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Orthoptera					Yes						0.025	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Blattodea					Yes						0.203	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				Yes						0.253	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Hemiptera		Tingidae			Yes						0.127	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Coleoptera					Yes						0.139	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Lepidoptera					Yes			Larva			0.051	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Hymenoptera					No						0.051	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	3	2014	3	2014	Winter	7	Animalia	Arthropoda	Insecta	Hymenoptera		Formicidae			Yes						0.063	Items	79	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	F	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	8	Animalia	Arthropoda	Arachnida	Araneae					Yes						0.054	Items	92	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	8	Animalia	Arthropoda	Insecta	Blattodea					Yes						0.098	Items	92	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	8	Animalia	Arthropoda	Insecta	Hemiptera	Heteroptera				Yes						0.619	Items	92	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	8	Animalia	Arthropoda	Insecta	Hemiptera		Tingidae			Yes						0.076	Items	92	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
Yellow Warbler	Setophaga petechia petechia		Parulidae	eBird Clements Checklist v2021	18.03	-77.93				Jamaica	"Font Hill Reserve, Luana Point, St. Elizabeth Parish"	Mangrove	2	2014	2	2014	Winter	8	Animalia	Arthropoda	Insecta	Coleoptera					Yes						0.13	Items	92	1	1	Stomach contents		AM	"Kent, C M. 2022. High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities. International Journal of Avian Science 164: 44-59."	10.1111/ibi.13006	M	ASY			High resource overlap and small dietary differences are widespread in food-limited warbler (Parulidae) communities	Kent	2022	International Journal of Avian Sciences							
