"level"	"name"	"condition"
"Genus"	"Odontaeus"	"unmatched"
"Genus"	"Romalium"	"unmatched"
"Genus"	"Evarthrus"	"wrong rank; too high"
"Genus"	"Agonoderus"	"unmatched"
"Genus"	"Telephorus"	"unmatched"
"Genus"	"Lachnosterna"	"unmatched"
"Genus"	"Opatrinus"	"unmatched"
"Genus"	"Amnesia"	"unmatched"
"Genus"	"Sitones"	"unmatched"
"Genus"	"Cleonus"	"unmatched"
"Genus"	"Balaninus"	"unmatched"
"Genus"	"Alsine"	"unmatched"
"Genus"	"Evonymus"	"wrong rank; too low"
"Genus"	"Leucarctia"	"unmatched"
"Genus"	"Camptobrochis"	"wrong rank; too low"
"Genus"	"Amaranthus?"	"unmatched"
"Genus"	"Rumex?"	"unmatched"
"Genus"	"Polygonum?"	"unmatched"
"Genus"	"Dichelonycha"	"unmatched"
"Genus"	"Isorhipis"	"unmatched"
"Genus"	"Gastroidea"	"unmatched"
"Genus"	"Corphyra"	"unmatched"
"Genus"	"Staphylinus"	"unmatched"
"Genus"	"Athous"	"wrong rank; too high"
"Genus"	"Cremastochilus"	"unmatched"
"Genus"	"Deromyia"	"unmatched"
"Genus"	"Odynerus"	"unmatched"
"Genus"	"Myzine"	"wrong rank; too high"
"Genus"	"Cryptus"	"unmatched"
"Genus"	"Limneria"	"unmatched"
"Genus"	"Pompilus"	"unmatched"
"Genus"	"Lampronota"	"wrong rank; too high"
"Genus"	"Xylonomus"	"unmatched"
"Genus"	"Tettix"	"unmatched"
"Genus"	"Ceresa"	"wrong rank; too high"
"Genus"	"Pteromalus"	"unmatched"
"Genus"	"Proctotrypes"	"unmatched"
"Genus"	"Mesostenus"	"wrong rank; too high"
"Genus"	"Elater"	"unmatched"
"Genus"	"Asilidae"	"wrong rank; too low"
"Genus"	"Thalessa"	"unmatched"
"Genus"	"Tortrix"	"unmatched"
"Genus"	"Griselinia"	"unmatched"
"Genus"	"Micronecta"	"unmatched"
"Genus"	"Ceratophallus"	"unmatched"
"Genus"	"Procordulia"	"unmatched"
"Genus"	"Xanthocnemis"	"unmatched"
"Genus"	"Dichroplus"	"unmatched"
"Genus"	"Wettinia"	"unmatched"
"Genus"	"Chrysochlamys"	"unmatched"
"Genus"	"Coussarea"	"unmatched"
"Genus"	"Isoetopsis"	"unmatched"
"Genus"	"Podolepis"	"unmatched"
"Genus"	"Nesameletus"	"unmatched"
"Genus"	"Archichauliodes"	"unmatched"
"Genus"	"Bertya"	"unmatched"
"Genus"	"Dichopogon"	"unmatched"
"Genus"	"Einadia"	"unmatched"
"Genus"	"Monechma"	"wrong rank; too low"
"Genus"	"Stylochaeton"	"unmatched"
"Genus"	"Citronella"	"unmatched"
"Genus"	"Lepilaena"	"unmatched"
"Genus"	"Oreomyrrhis"	"unmatched"
"Genus"	"Cyathodes"	"unmatched"
"Genus"	"Deleatidium"	"unmatched"
"Genus"	"Zelandobius"	"unmatched"
