"level"	"name"	"condition"
"Family"	"cervidae"	"wrong rank; too high"
"Family"	"Aphidae"	"unmatched"
"Family"	"Myrmeleontinae"	"wrong rank; too high"
"Family"	"Jassidae"	"unmatched"
"Family"	"Lissonotinae; Ichneumoninae"	"unmatched"
"Family"	"Tryphoninae"	"unmatched"
"Family"	"Campopleginae"	"unmatched"
"Family"	"Ichneumoninae"	"unmatched"
"Family"	"Trichoptera"	"wrong rank; too low"
"Family"	"Anthobium"	"unmatched"
"Family"	"Eupelminae"	"unmatched"
"Family"	"Panicinae"	"wrong rank; too high"
"Family"	"Limoniidae"	"unmatched"
"Family"	" Stratiomyidae "	"unmatched"
"Family"	"Dolichopidae"	"unmatched"
"Family"	"Opomyzidae"	"wrong rank; too low"
"Family"	"Scatophagidae"	"unmatched"
"Family"	"Alleculinae"	"wrong rank; too high"
"Family"	"Ichnumonidae"	"unmatched"
"Family"	"Cucujoidea"	"wrong rank; too low"
"Family"	"Leguminose"	"unmatched"
"Family"	"Microtinae"	"unmatched"
"Family"	"Raphidiidae?"	"unmatched"
"Family"	"Phymatinae"	"wrong rank; too high"
"Family"	"Scarabidae"	"unmatched"
"Family"	"Geotropidae"	"unmatched"
"Family"	"Coccinelidae"	"unmatched"
"Family"	"Sylphidae"	"unmatched"
"Family"	"Geridae"	"unmatched"
"Family"	"Corimelanidae"	"unmatched"
"Family"	"Anthrocoridae"	"unmatched"
"Family"	"Bracconidae"	"unmatched"
"Family"	"Chalcidoidea"	"wrong rank; too low"
"Family"	"Apoidae"	"unmatched"
"Family"	"Eucerinae"	"unmatched"
"Family"	"Multillidae"	"unmatched"
"Family"	"Xylocopinae"	"wrong rank; too high"
"Family"	"Culicinae"	"wrong rank; too high"
"Family"	"Mycetophillidae"	"unmatched"
"Family"	"Chloropodidae"	"unmatched"
"Family"	"Empidae"	"unmatched"
"Family"	"Ochthiphillidae"	"unmatched"
"Family"	"Cicadellinae"	"unmatched"
"Family"	"Unidentified"	"unmatched"
"Family"	"unidentified"	"unmatched"
"Family"	"Brachycera"	"wrong rank; too low"
"Family"	"Unknown"	"wrong rank; too high"
"Family"	"Aphidoidea"	"wrong rank; too low"
"Family"	"Rhynchophora"	"unmatched"
"Family"	"Cantharide"	"unmatched"
"Family"	"chrysomelidae"	"wrong rank; too high"
"Family"	"curculionidae"	"wrong rank; too high"
"Family"	"unknown"	"wrong rank; too high"
"Family"	"scolytidae"	"wrong rank; too high"
"Family"	"tabanidae"	"wrong rank; too high"
"Family"	"syrphidae"	"wrong rank; too high"
"Family"	"coccidae"	"wrong rank; too high"
"Family"	"cercopidae"	"wrong rank; too high"
"Family"	"vespidae"	"wrong rank; too high"
"Family"	"diprionidae"	"wrong rank; too high"
"Family"	"tenthredinidae"	"wrong rank; too high"
"Family"	"saturniidae"	"wrong rank; too high"
"Family"	"chrysopidae"	"wrong rank; too high"
"Family"	"mantidae"	"wrong rank; too high"
"Family"	"psocidae"	"wrong rank; too high"
"Family"	"elateridae"	"wrong rank; too high"
"Family"	"aphididae"	"wrong rank; too high"
"Family"	"fulgoridae"	"wrong rank; too high"
"Family"	"ichneumonidae"	"wrong rank; too high"
"Family"	"chrysididae"	"wrong rank; too high"
"Family"	"limacodidae"	"wrong rank; too high"
"Family"	"panorpidae"	"wrong rank; too high"
"Family"	"gryllidae"	"wrong rank; too high"
"Family"	"tetrigidae"	"wrong rank; too high"
"Family"	"Locustidae"	"unmatched"
"Family"	"Unidentified beetle"	"unmatched"
"Family"	"Heteronemiidae"	"unmatched"
"Family"	"Tettigonioidea"	"wrong rank; too low"
"Family"	"Satyrinae"	"wrong rank; too high"
"Family"	"Trypetidae"	"unmatched"
"Family"	"Geomyzidae"	"unmatched"
"Family"	"Mylabridae"	"unmatched"
"Family"	"Areopodidae"	"unmatched"
"Family"	"Phalaenidae"	"unmatched"
"Family"	" Phlaeothripidae"	"unmatched"
"Family"	"Eneyrtidae"	"unmatched"
"Family"	"Elatedidae"	"unmatched"
"Family"	"Scarabaeidae "	"unmatched"
"Family"	"Myrmeleonidae"	"unmatched"
"Family"	"Sphaeriidae"	"unmatched"
"Family"	"Helcomyzidae"	"wrong rank; too low"
"Family"	"Scutellidae"	"unmatched"
"Family"	"Gripopterygidae"	"unmatched"
