Source	Common_Name	Observation_Year_Begin	Observation_Month_Begin	Observation_Season	Bird_Sample_Size	Habitat_type	Location_Region	Location_Specific	Item_Sample_Size	Diet_Type	Study_Type	Sites	Sum_Diet	RESOLUTION	NOTES
"Murie, O. J. 1940. Food Habits of the Northern Bald Eagle in the Aleutian Islands, Alaska. Condor 42:198-202."	Bald Eagle	1936	NA	NA	NA	NA	Alaska	Aleutian Islands	399	Items	prey remains	28	1.06395	Unresolved	Re-enter data in Table 1 broken down by year separately
"Nesbitt, S. A. and W. M. Hetrick. 1976. Foods of the Pine Warbler and Brown-headed Nuthatch. Florida Field Naturalist 4:28-33."	Pine Warbler	1972	5	multiple	21	coniferous forest	Florida	Duval County	NA	Wt_or_Vol	emetic	1	1.053	Fixed	"Reported value of 0.056 for Cerambycidae was a typo, recalculated based on raw values (0.0056)"
"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."	Eurasian Linnet	1961	1	winter	NA	woodland; deciduous forest; agriculture	England	Wytham Woods	NA	Items	esophagus contents	NA	1.095	As reported	
"Newton, I. 1967. The adaptive radiation and feeding ecology of some British finches. Ibis 109:33-98."	Eurasian Linnet	1961	5	spring	NA	woodland; deciduous forest; agriculture	England	Wytham Woods	NA	Items	behavioral observation	NA	1.1	Fixed	"typos for greenstuff and caterpillars, 0.05 -> 0.005"
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	Common Ground-Dove	1978	NA	NA	40	forest; grassland; wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	0.924	As reported	
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	Common Ground-Dove	1979	NA	NA	53	forest; grassland; wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	1.07	As reported	
"Passmore, M. F. Population biology of the Common Ground Dove and ecological relationships with Mourning and White-winged Doves in South Texas. th Texas. Ph.D. dissertation,  Texas A & M Univ., College Station, Texas. 96 pp."	Common Ground-Dove	1980	NA	NA	14	forest; grassland; wetland	Texas	Live Oak County	NA	Wt_or_Vol	stomach contents	1	0.908	Unresolved	
"Petersen, L. 1979. Ecology of Great Horned Owls and Red-tailed Hawks in southeastern Wisconsin. Wisconsin Department of Natural Resources, Technical Bulletin 111."	Red-tailed Hawk	1974	4	spring	NA	agriculture; deciduous forest	Wisconsin	Dodge and Jefferson counties	325	Items	pellet contents; prey remains	15	1.095	Fixed	"typo, 0.1 -> 0.01"
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Short-eared Owl	1973	NA	summer	NA	agriculture; woodland	Ontario	Amherst Island	NA	Items	pellet contents	1	0.92	As reported	"Seems likely that some of the entries for summer 1974 (the overcount) were meant to be listed under summer 1973 (the undercount), but no way to know for sure"
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Short-eared Owl	1974	NA	summer	NA	agriculture; woodland	Ontario	Amherst Island	NA	Items	pellet contents	1	1.09	As reported	"Seems likely that some of the entries for summer 1974 (the overcount) were meant to be listed under summer 1973 (the undercount), but no way to know for sure"
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Snowy Owl	1972	NA	winter	NA	agriculture; woodland	Ontario	Amherst Island	NA	Wt_or_Vol	pellet contents	1	1.09	As reported	
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Snowy Owl	1973	NA	winter	NA	agriculture; woodland	Ontario	Amherst Island	NA	Items	pellet contents	1	0.17	Fixed	"Value missing from table, but this prey species is clearly of known importance for all raptors in this dataset  including Snowy Owl; value assumed to be 1 - fraction of the 3 reported prey items"
"Phelan, F. J. S. and R. J. Robertson. 1978. Predatory responses of a raptor guild to changes in prey density. Canadian Journal of Zoology 56:2565-2572."	Snowy Owl	1973	NA	winter	NA	agriculture; woodland	Ontario	Amherst Island	NA	Wt_or_Vol	pellet contents	1	0.55	Fixed	"Value missing from table, but this prey species is clearly of known importance for all raptors in this dataset  including Snowy Owl; value assumed to be 1 - fraction of the 3 reported prey items"
"Platt, J.B. 1971. A survey of nesting hawks, eagles, falcons and owls in Curlew Valley, Utah. Great Basin Naturalist 31:51-65."	Burrowing Owl	1969	3	multiple	1	agriculture; shrubland	Utah	Curlew Valley	14	Items	nest debris; pellet contents	1	1.28571424	Fixed	"Previously the wrong denominator was being used, but also, insects had not been included because there was no numerical estimate provided in the paper. Here, I assume a minimum # of insects given this text: ""18 complete pellets were examined; 3 were entirely of insect remains, all but 2 pellets had some insect remains.""; 3 pellets * 10 insects + 13 pellets * 2 insects
"
"Randle, W. and R. Austing. 1952. Ecological notes on Long-eared and Saw-whet owls in southwestern Ohio. Ecology 33:422-426."	Long-eared Owl	1949	12	winter	NA	coniferous forest	Ohio	Clermont County Experimental Farm	252	Items	pellet contents	1	0.033	Fixed	Location_Specific misspecification
"Reebs, S. G. and D. A. Boag. 1987. Regurgitated pellets and late winter diet of Black-billed Magpies (Pica pica) in Central Alberta. Canadian Field-Naturalist 101:108-110."	Black-billed Magpie	1985	2	winter	NA	NA	Alberta	7 km south of Edmonton	64	Wt_or_Vol	pellet contents	1	1.099	Fixed	"Trace values of 0.05 -> 0.005, the eggshell entry was changed from Microtus to Aves"
"Reinecke, K.J. and J.R.B. Owen. 1980. Food use and nutrition of black ducks nesting in Maine. Journal of Wildlife Management 44:549-558."	American Black Duck	NA	NA	NA	9	NA	Maine	NA	NA	Wt_or_Vol	stomach contents	NA	1.9999	Fixed	Two sets of analyses of females during laying and post-laying have identical Bird_Sample_Sizes and so could not be distinguished with current summary functions; I assigned two distinct Item_Sample_Sizes (previously NA) to these two groups so they could be distinguished and made a Note to that effect
"Restani, M. 1991. Resource partitioning among three Buteo species in the Centennial Valley, Montana. Condor 93:1007-1010."	Ferruginous Hawk	1987	NA	NA	24	grassland	Montana	Centennial Valley	190	Items	prey remains; pellet contents	1	1.132	Fixed	typo
"Roth II, T. C. and S. L. Lima. 2003. Hunting behavior and diet of Cooper's Hawks: an urban view of the small-bird-in-winter paradigm. Condor 105(3):474-483."	Cooper's Hawk	1999	11	winter	13	urban	Indiana	Terre Haute	57	Items	behavioral observation	NA	0.317	Fixed	typos
"Savage, A.L., C. E. Moorman, J. A. Gerwin, and C. Sorenson.  2010. Prey Selection by Swainson's Warblers on the Breeding Grounds. Condor: 112(3):605-614"	Swainson's Warbler	2007	4	spring	96	wetland; coniferous forest	South Carolina	Woodbury Wildlife Management	NA	Items	crop contents	4	0.895	As reported	"Sent email to Gerwin, Moorman inquiring"
"Snyder, N. F. R. and J. W. Wiley. 1976. Sexual size dimorphism in hawks and owls of North America. Ornithological Monographs 20."	Spotted Owl	NA	NA	NA	NA	NA	North America	Multiple	176	Items	stomach contents	NA	1.054	Fixed	typo
"Springer, A. M. 1975. Observations on the summer diet of Rough-legged Hawks from Alaska. Condor 77:338-339."	Rough-legged Hawk	1971	NA	summer	29	NA	Alaska	Seward Peninsula	192	Items	prey remains; pellet contents	NA	1.052083332	Fixed	typo
"Stendell, R. C. and P. Myers. 1973. White-tailed kite predation on a fluctuating vole population. Condor 75(3): 359-360."	White-tailed Kite	1969	NA	NA	NA	woodland; grassland	California	Hastings Natural History Reservation	55	Items	pellet contents	NA	0.03		
"Storer, R. W. 1966. Sexual dimorphism and food habits of three North American accipiters. Auk 83:423-436."	Cooper's Hawk	NA	NA	NA	NA	NA	North America	"Eastern North Dakota to Point Pelee, Ontario, Canada"	142	Items	stomach contents	NA	0.732394371		
"Todd, C. S., L. S. Young, R. B. Owen, and F. J. Gramlich. 1982. Food habits of Bald Eagles in Maine. Journal of Wildlife Management 46:636-645."	Bald Eagle	1976	NA	NA	NA	NA	Maine	Inland Maine	871	Items	prey remains	78	0.565238853		
"Verbeek, N. A. M. 1970. The exploitation system of the Yellow-billed Magpie. Phd Thesis. University of California, Berkeley."	Yellow-billed Magpie	1967	6	multiple	26	grassland	California	"Hasting Reservation, Monetery county and Blomquist ranch"	NA	Items	stomach contents	NA	2.075		
"Wheelwright, N. T. 1986. The diet of American Robins: an analysis of U.S. Biological Survey records. Auk 103:710-725."	American Robin	1885	NA	multiple	436	multiple	Western North America	Multiple	1104	Items	stomach contents	NA	0.67		
"Wheelwright, N. T. 1986. The diet of American Robins: an analysis of U.S. Biological Survey records. Auk 103:710-725."	American Robin	1885	NA	multiple	1260	multiple	Eastern North America	Multiple	5141	Items	stomach contents	NA	1.33		
"Wishart, R.A. 1983. The behavioral ecology of the American Wigeon (Anas americana) over its annual cycle. Ph.D. Thesis. University of Manitoba."	American Wigeon	NA	NA	NA	15	NA	Saskatchewan	NA	NA	Wt_or_Vol	stomach contents	NA	1.9998		
