level	name	condition	replacewith	notes
Family	mantidae	wrong rank; too high	Mantidae	
Family	psocidae	wrong rank; too high	Psocidae	
Family	elateridae	wrong rank; too high	Elateridae	
Family	aphididae	wrong rank; too high	Aphididae	
Family	fulgoridae	wrong rank; too high	Fulgoridae	
Family	ichneumonidae	wrong rank; too high	Ichneumonidae	
Family	chrysididae	wrong rank; too high	Chrysididae	
Family	limacodidae	wrong rank; too high	Limacodidae	
Family	panorpidae	wrong rank; too high	Panorpidae	
Family	gryllidae	wrong rank; too high	Gryllidae	
Family	tetrigidae	wrong rank; too high	Tetrigidae	
Family	Locustidae	unmatched	Tettigoniidae	
Family	Unidentified beetle	unmatched		Unidentified = yes
Family	Heteronemiidae	unmatched	Phasmatidae	
Family	Tettigonioidea	wrong rank; too low	Tettigoniidae	
Family	Satyrinae	wrong rank; too high	Nymphalidae	
Family	Trypetidae	unmatched	Tephritidae	
Family	Geomyzidae	unmatched	Chyromyidae	
Family	Mylabridae	unmatched	Meloidae	
Family	Areopodidae	unmatched	Delphacidae	
Family	Phalaenidae	unmatched	Noctuidae	
Family	 Phlaeothripidae	unmatched	Phlaeothripidae	
Family	Eneyrtidae	unmatched	Encyrtidae	
Family	Elatedidae	unmatched	Elateridae	
Family	Scarabaeidae 	unmatched	Scarabaeidae	
Family	Myrmeleonidae	unmatched	Myrmeleontidae	
Family	Sphaeriidae	unmatched	Psididiidae	
Family	Helcomyzidae	wrong rank; too low	Heleomyzidae	
Family	Scutellidae	unmatched		Order = Clypeasteroida
Family	Gripopterygidae	unmatched	Gripopterygidae	
Genus	Anas platyrhynchos	wrong rank; too high	Anas	Scientific_Name = Anas platyrhynchos
Genus	Plagiodes	unmatched		Class = Actinopterygii & Order = Teleostei & Unidentified = yes
Genus	Pleuronectidae	wrong rank; too low		Family = Pleuronectidae
Genus	Trichoton	unmatched		Family = Tenebrionidae & Unidentified = yes
Genus	Eleodes	wrong rank; too high		Family = Tenebrionidae & Unidentified = yes
Genus	Cicadula	unmatched		
Genus	Oncopsis	unmatched		
Genus	Phlepsius	unmatched		
Genus	Paniscus	unmatched		
Genus	Meteorus	unmatched		
Genus	Elateridae limonius	unmatched		
Genus	Graminea	unmatched		
Genus	Gallium	unmatched		
Genus	Zea L.	unmatched		
Genus	Euphorbia L.	unmatched		
Genus	Quercus L.	unmatched		
Genus	Citellus	unmatched		
Genus	Triodia	unmatched		
Genus	Choris	unmatched		
Genus	Unidentified	unmatched		
Genus	Unidentified Species 2	unmatched		
Genus	Unidentified Species 1	unmatched		
Genus	Claytonia?	unmatched		
Genus	Aster/Erigeron	unmatched		
Genus	grass	unmatched		
Genus	Iris	unmatched		
Genus	Bembidium	unmatched		
Genus	Macrops	unmatched		
Genus	Tomicus	unmatched		
Genus	Pimpla	unmatched		
Genus	Ophion	unmatched		
Genus	Bassus?	unmatched		
Genus	Rhodites	unmatched		
Genus	Homalodisca	unmatched		
Genus	Emesa?	unmatched		
Genus	Epitrix?	unmatched		
Genus	Ichneumon	unmatched		
Genus	Urosigalphus	unmatched		
Genus	Apanteles	unmatched		
Genus	Ophiderma	unmatched		
Genus	Corizus	wrong rank; too low		
Genus	Homaeotarsus	unmatched		
Genus	Rhyncholus	wrong rank; too low		
Genus	Telamona?	unmatched		
Genus	Platycotis	unmatched		
Genus	Criocephalus	wrong rank; too low		
Genus	Scambus	unmatched		
Genus	Chalcis?	unmatched		
Genus	Pogonomyrmex?	unmatched		
Genus	Stictocephalus	unmatched		
Genus	Pamera	unmatched		
Genus	Trogophlaeus	unmatched		
Genus	Reduviolus	wrong rank; too high		
Genus	Altica?	unmatched		
Genus	Cantharis?	unmatched		
Genus	Margarodes	unmatched		
Genus	Homaemus parvulus	wrong rank; too high		
Genus	Thyreocoris	unmatched		
Genus	Stictocephala	wrong rank; too high		
Genus	Monocrepidius	unmatched		
Genus	Melanophthalma	unmatched		
Genus	Lepidosina	unmatched		
Genus	Mesochorus	wrong rank; too high		
Genus	Campoplex	unmatched		
Genus	Lissonota	wrong rank; too low		
Genus	Agrothereutes	unmatched		
Genus	Phaeogenes	unmatched		
Genus	Erythroneura	unmatched		
Genus	Typhlocybini	unmatched		
Genus	Formicidae	wrong rank; too low		
Genus	Choristoneura	unmatched		
Genus	Bolboceras	unmatched		
Genus	Coniontis	unmatched		
Genus	Amphicyrta	unmatched		
Genus	Odontaeus	unmatched		
Genus	Romalium	unmatched		
Genus	Evarthrus	wrong rank; too high		
Genus	Agonoderus	unmatched		
Genus	Telephorus	unmatched		
Genus	Lachnosterna	unmatched		
Genus	Opatrinus	unmatched		
Genus	Amnesia	unmatched		
Genus	Sitones	unmatched		
Genus	Cleonus	unmatched		
Genus	Balaninus	unmatched		
Genus	Alsine	unmatched		
Genus	Evonymus	wrong rank; too low		
Genus	Leucarctia	unmatched		
Genus	Camptobrochis	wrong rank; too low		
Genus	Amaranthus?	unmatched		
Genus	Rumex?	unmatched		
Genus	Polygonum?	unmatched		
Genus	Dichelonycha	unmatched		
Genus	Isorhipis	unmatched		
Genus	Gastroidea	unmatched		
Genus	Corphyra	unmatched		
Genus	Staphylinus	unmatched		
Genus	Athous	wrong rank; too high		
Genus	Cremastochilus	unmatched		
Genus	Deromyia	unmatched		
Genus	Odynerus	unmatched		
Genus	Myzine	wrong rank; too high		
Genus	Cryptus	unmatched		
Genus	Limneria	unmatched		
Genus	Pompilus	unmatched		
Genus	Lampronota	wrong rank; too high		
Genus	Xylonomus	unmatched		
Genus	Tettix	unmatched		
Genus	Ceresa	wrong rank; too high		
Genus	Pteromalus	unmatched		
Genus	Proctotrypes	unmatched		
Genus	Mesostenus	wrong rank; too high		
Genus	Elater	unmatched		
Genus	Asilidae	wrong rank; too low		
Genus	Thalessa	unmatched		
Genus	Tortrix	unmatched		
Genus	Griselinia	unmatched		
Genus	Micronecta	unmatched		
Genus	Ceratophallus	unmatched		
Genus	Procordulia	unmatched		
Genus	Xanthocnemis	unmatched		
Genus	Dichroplus	unmatched		
Genus	Wettinia	unmatched		
Genus	Chrysochlamys	unmatched		
Genus	Coussarea	unmatched		
Genus	Isoetopsis	unmatched		
Genus	Podolepis	unmatched		
Genus	Nesameletus	unmatched		
Genus	Archichauliodes	unmatched		
Genus	Bertya	unmatched		
Genus	Dichopogon	unmatched		
Genus	Einadia	unmatched		
Genus	Monechma	wrong rank; too low		
Genus	Stylochaeton	unmatched		
Genus	Citronella	unmatched		
Genus	Lepilaena	unmatched		
Genus	Oreomyrrhis	unmatched		
Genus	Cyathodes	unmatched		
Genus	Deleatidium	unmatched		
Genus	Zelandobius	unmatched		
